species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons, transfers_to
Pate29, 0, 0, 0.03, 0.033, 0, 0, 0, 0, 0.02
Pate3, 0, 0, 0.022, 0.027, 0, 0, 0, 0, 0.021
Pate30, 0, 0, 0.022, 0.026, 0, 0, 0, 0, 0.022
Pate31, 0, 0, 0.023, 0.023, 0, 0, 0, 0, 0.016
Pate32, 0, 0, 0.022, 0.029, 0, 0, 0, 0, 0.021
Pate33, 0, 0.001, 0.025, 0.033, 0, 0, 0, 0, 0.02
Pate34, 0, 0, 0.026, 0.03, 0, 0, 0, 0, 0.023
Pate35, 0, 0, 0.023, 0.027, 0, 0, 0, 0, 0.017
Pate36, 0, 0, 0.019, 0.02, 0, 0, 0, 0, 0.015
Pate37, 0, 0, 0.032, 0.039, 0, 0, 0, 0, 0.029
Pate38, 0, 0, 0.03, 0.031, 0, 0, 0, 0, 0.02
Pate39, 0, 0, 0.025, 0.03, 0, 0, 0, 0, 0.018
Pate4, 0, 0.001, 0.034, 0.037, 0, 0, 0, 0, 0.03
Pate40, 0, 0, 0.024, 0.033, 0, 0, 0, 0, 0.022
Pate41, 0, 0, 0.015, 0.014, 0, 0, 0, 0, 0.013
Pate43, 0, 0, 0.021, 0.027, 0, 0, 0, 0, 0.018
Pate44, 0, 0, 0.027, 0.032, 0, 0, 0, 0, 0.023
Pate45, 0, 0, 0.017, 0.019, 0, 0, 0, 0, 0.013
Pate46, 0, 0, 0.021, 0.024, 0, 0, 0, 0, 0.018
Pate48, 0, 0, 0.019, 0.025, 0, 0, 0, 0, 0.015
Pate49, 0, 0, 0.029, 0.04, 0, 0, 0, 0, 0.027
Pate5, 0, 0, 0.024, 0.031, 0, 0, 0, 0, 0.021
Pate50, 0, 0, 0.02, 0.028, 0, 0, 0, 0, 0.018
Pate51, 0, 0, 0.025, 0.029, 0, 0, 0, 0, 0.019
Pate52, 0, 0, 0.027, 0.03, 0, 0, 0, 0, 0.022
Pate53, 0, 0, 0.014, 0.015, 0, 0, 0, 0, 0.012
Pate54, 0, 0, 0.02, 0.024, 0, 0, 0, 0, 0.013
Pate55, 0, 0, 0.017, 0.019, 0, 0, 0, 0, 0.015
Pate56, 0, 0, 0.021, 0.03, 0, 0, 0, 0, 0.021
Pate57, 0, 0, 0.021, 0.025, 0, 0, 0, 0, 0.018
Pate6, 0, 0, 0.023, 0.022, 0, 0, 0, 0, 0.017
Pate7, 0, 0, 0.027, 0.031, 0, 0, 0, 0, 0.026
Pate8, 0, 0, 0.021, 0.03, 0, 0, 0, 0, 0.021
Pate9, 0, 0, 0.019, 0.02, 0, 0, 0, 0, 0.015
Plan12, 0, 0, 0.027, 0.018, 0, 0, 0, 0, 0.009
Plan14, 1, 0.001, 0.023, 0.17, 1, 0, 1, 0.187, 0.828
Plan16, 1, 0.008, 0.078, 0.793, 1, 0, 1, 0.751, 0.258
Plan17, 0, 0, 0.023, 0.018, 0, 0, 0, 0, 0.016
