species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons, transfers_to
Node_Meth2_Meth1_0, 0.003, 0, 0.006, 0.007, 0.003, 0, 0.003, 0.001, 0.006
Node_Meth4_Meth3_0, 0.002, 0, 0.011, 0.012, 0.002, 0, 0.002, 0, 0.012
Node_Meth5_Meth2_0, 0.003, 0, 0.006, 0.001, 0.003, 0, 0.003, 0.002, 0.002
Node_Meth5_Meth4_0, 0.001, 0, 0.004, 0.002, 0.001, 0, 0.001, 0, 0.002
Node_Meth5_NitsA1_0, 0.059, 0, 0.117, 0.07, 0.058, 0, 0.059, 0.058, 0.001
Node_Meth5_SZUA1_0, 0.007, 0, 0.009, 0.005, 0.007, 0, 0.007, 0.006, 0.003
Node_Meth5_Sche1_0, 0.013, 0, 0.047, 0.021, 0.013, 0, 0.013, 0.013, 0.001
Node_MyxA1_MyxA2_0, 0.009, 0, 0.027, 0.024, 0.009, 0, 0.009, 0.008, 0.006
Node_MyxA1_MyxA4_0, 0.03, 0, 0.116, 0.064, 0.03, 0, 0.03, 0.027, 0.006
Node_MyxA2_MyxA3_0, 0.005, 0, 0.012, 0.014, 0.005, 0, 0.005, 0.001, 0.008
Node_Myxo10_Bdell6_0, 0.296, 0.002, 0.105, 0.111, 0.291, 0, 0.296, 0.29, 0.004
Node_Myxo10_MyxA1_0, 0.14, 0.006, 0.167, 0.079, 0.133, 0, 0.14, 0.125, 0.005
Node_Myxo10_Myxo11_0, 0.142, 0.005, 0.021, 0.052, 0.132, 0, 0.142, 0.114, 0.018
Node_Myxo10_Myxo14_0, 0.047, 0, 0.102, 0.047, 0.046, 0, 0.047, 0.041, 0.007
Node_Myxo10_Myxo15_0, 0.065, 0, 0.09, 0.036, 0.064, 0, 0.065, 0.032, 0.038
Node_Myxo10_Myxo17_0, 0.117, 0, 0.033, 0.047, 0.116, 0, 0.117, 0.018, 0.103
Node_Myxo11_Bdell13_0, 0.189, 0.004, 0.012, 0.062, 0.173, 0, 0.189, 0.129, 0.055
Node_Myxo11_Myxo13_0, 1, 0.002, 0.019, 0.269, 0.998, 0, 1, 0.214, 0.787
Node_Myxo11_Myxo8_0, 0.23, 0.003, 0.081, 0.11, 0.228, 0, 0.23, 0.11, 0.119
Node_Myxo14_Myxo2_0, 0.026, 0, 0.006, 0.009, 0.026, 0, 0.026, 0.009, 0.02
Node_Myxo14_Myxo3_0, 0.016, 0, 0.033, 0.028, 0.016, 0, 0.016, 0.015, 0.002
Node_Myxo14_Myxo5_0, 0.103, 0.001, 0.002, 0.012, 0.103, 0, 0.103, 0.025, 0.078
Node_Myxo14_Myxo6_0, 0.014, 0, 0.093, 0.032, 0.014, 0, 0.014, 0.013, 0.004
Node_Myxo14_Myxo9_0, 0.012, 0, 0.009, 0.015, 0.012, 0, 0.012, 0.009, 0.005
Node_Myxo15_Myxo18_0, 0.249, 0, 0.015, 0.083, 0.248, 0, 0.249, 0.056, 0.199
Node_Myxo17_Myxo19_0, 1.01, 0.011, 0.039, 0.521, 0.998, 0, 1.01, 0.091, 0.921
Node_Myxo2_Myxo1_0, 0.003, 0, 0.026, 0.014, 0.003, 0, 0.003, 0.003, 0.003
Node_Myxo8_Myxo7_0, 0.028, 0, 0.208, 0.097, 0.028, 0, 0.028, 0.026, 0.006
Node_Nitr10_Nitr3_0, 0.002, 0, 0.004, 0.005, 0.002, 0, 0.002, 0, 0.006
Node_Nitr10_Nitr4_0, 0, 0, 0.007, 0.009, 0, 0, 0, 0, 0.004
Node_Nitr10_Nitr6_0, 0.001, 0, 0.007, 0.007, 0.001, 0, 0.001, 0.001, 0.006
Node_Nitr14_CG294X1_0, 0.05, 0, 0.126, 0.086, 0.05, 0, 0.05, 0.05, 0.001
Node_Nitr14_Meth5_0, 0.175, 0.001, 0.519, 0.224, 0.173, 0, 0.175, 0.171, 0.003
Node_Nitr14_Nitr12_0, 0.004, 0, 0.006, 0.009, 0.004, 0, 0.004, 0.001, 0.009
Node_Nitr14_Nitr13_0, 0.002, 0, 0.004, 0.005, 0.002, 0, 0.002, 0, 0.005
Node_Nitr14_Nitr15_0, 0.033, 0, 0.031, 0.028, 0.033, 0, 0.033, 0.02, 0.014
Node_Nitr14_Nitr16_0, 0.001, 0, 0.002, 0.003, 0.001, 0, 0.001, 0, 0.001
Node_Nitr14_Nitr2_0, 0.001, 0, 0.012, 0.007, 0.001, 0, 0.001, 0.001, 0.002
Node_Nitr14_Nitr9_0, 0.011, 0, 0.025, 0.015, 0.011, 0, 0.011, 0.01, 0.003
Node_Nitr15_Nitr10_0, 0.003, 0, 0.004, 0.003, 0.003, 0, 0.003, 0.001, 0.002
Node_Nitr15_Nitr1_0, 0.051, 0.001, 0.018, 0.022, 0.05, 0, 0.051, 0.017, 0.035
