species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons, transfers_to
Node_FirmA83_FirmA49_0, 0.005, 0, 0.025, 0.031, 0.005, 0, 0.005, 0.002, 0.022
Node_FirmA83_FirmA55_0, 0.011, 0, 0.013, 0.015, 0.011, 0, 0.011, 0.002, 0.015
Node_FirmA83_FirmA59_0, 0.006, 0, 0.026, 0.02, 0.006, 0, 0.006, 0.002, 0.009
Node_FirmA83_FirmA65_0, 0.009, 0, 0.011, 0.015, 0.009, 0, 0.009, 0, 0.014
Node_FirmA83_FirmA81_0, 0.023, 0, 0.008, 0.01, 0.023, 0, 0.023, 0.004, 0.024
Node_FirmA83_FirmA86_0, 0.008, 0, 0.016, 0.015, 0.008, 0, 0.008, 0.003, 0.013
Node_FirmA84_FirmA111_0, 0.054, 0, 0.032, 0.026, 0.053, 0, 0.054, 0.016, 0.04
Node_FirmA84_FirmA16_0, 0.446, 0, 0.014, 0.038, 0.444, 0, 0.446, 0.288, 0.163
Node_FirmA84_FirmA20_0, 0.255, 0.001, 0.004, 0.033, 0.252, 0, 0.255, 0.051, 0.204
Node_FirmA84_FirmA26_0, 0.297, 0, 0.025, 0.028, 0.296, 0, 0.297, 0.236, 0.067
Node_FirmA84_FirmA46_0, 0.03, 0, 0.049, 0.053, 0.029, 0, 0.03, 0.027, 0.011
Node_FirmA84_FirmA63_0, 0.068, 0, 0.386, 0.143, 0.068, 0, 0.068, 0.067, 0.008
Node_FirmA84_FirmA9_0, 0.009, 0, 0.029, 0.031, 0.009, 0, 0.009, 0.007, 0.008
Node_FirmA85_DTU0X1_0, 0.006, 0, 0.016, 0.01, 0.006, 0, 0.006, 0.006, 0.003
Node_FirmA85_FirmA60_0, 0.006, 0, 0.013, 0.013, 0.006, 0, 0.006, 0.001, 0.013
Node_FirmA85_FirmC13_0, 0.019, 0, 0.047, 0.027, 0.019, 0, 0.019, 0.018, 0.005
Node_FirmA86_FirmA61_0, 0.008, 0, 0.012, 0.017, 0.008, 0, 0.008, 0.002, 0.012
Node_FirmA87_FirmA106_0, 0.279, 0.001, 0.01, 0.094, 0.277, 0, 0.279, 0.098, 0.187
Node_FirmA87_FirmA62_0, 0.101, 0.001, 0.011, 0.04, 0.1, 0, 0.101, 0.053, 0.051
Node_FirmA87_FirmA96_0, 0.06, 0, 0.011, 0.039, 0.06, 0, 0.06, 0.018, 0.048
Node_FirmA88_FirmA101_0, 0.006, 0, 0.032, 0.027, 0.006, 0, 0.006, 0.003, 0.019
Node_FirmA89_FirmA105_0, 0.03, 0, 0.232, 0.07, 0.029, 0, 0.03, 0.025, 0.014
Node_FirmA89_FirmA110_0, 0.006, 0, 0.042, 0.044, 0.006, 0, 0.006, 0.004, 0.018
