species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons, transfers_to
Node_Aero1_UBA9X1_0, 0.034, 0, 0.08, 0.051, 0.034, 0, 0.034, 0.032, 0.003
Node_Aqui2_Aqui1_0, 0.004, 0, 0.018, 0.025, 0.004, 0, 0.004, 0, 0.017
Node_Aqui2_Aqui3_0, 0.01, 0.001, 0.034, 0.035, 0.01, 0, 0.01, 0.007, 0.005
Node_Aqui2_Aqui5_0, 0.005, 0, 0.02, 0.025, 0.005, 0, 0.005, 0, 0.024
Node_Aqui2_Aqui6_0, 0.001, 0, 0.017, 0.013, 0.001, 0, 0.001, 0.001, 0.008
Node_Aqui2_Camp1_0, 0.157, 0.002, 0.118, 0.18, 0.154, 0, 0.157, 0.148, 0.005
Node_Aqui2_Thers1_0, 0.038, 0, 0.12, 0.067, 0.038, 0, 0.038, 0.037, 0.001
Node_Aqui6_Aqui4_0, 0.005, 0, 0.008, 0.011, 0.005, 0, 0.005, 0.001, 0.012
Node_Arma12_Arma11_0, 0.009, 0, 0.007, 0.017, 0.009, 0, 0.009, 0.002, 0.013
Node_Arma12_Arma7_0, 0.034, 0, 0.009, 0.017, 0.034, 0, 0.034, 0.008, 0.034
Node_Arma15_Arma13_0, 0.035, 0.003, 0.312, 0.118, 0.035, 0, 0.035, 0.027, 0.029
Node_Arma4_Acti50_0, 0.013, 0, 0.007, 0.009, 0.013, 0, 0.013, 0.012, 0.002
Node_Arma4_Arma12_0, 0.003, 0, 0.006, 0.006, 0.003, 0, 0.003, 0.001, 0.005
Node_Arma4_Arma14_0, 0.002, 0, 0.015, 0.014, 0.002, 0, 0.002, 0, 0.014
Node_Arma4_Arma6_0, 0.004, 0, 0.006, 0.01, 0.004, 0, 0.004, 0, 0.008
Node_Arma4_CSP1X1_0, 0.003, 0, 0.006, 0.007, 0.003, 0, 0.003, 0.002, 0.002
Node_Arma4_Erem6_0, 0.001, 0, 0.003, 0.004, 0.001, 0, 0.001, 0, 0.001
Node_Arma4_Pate48_0, 0.007, 0, 0.007, 0.009, 0.007, 0, 0.007, 0.006, 0.001
Node_Arma4_UBP13X1_0, 0.002, 0, 0.002, 0.005, 0.002, 0, 0.002, 0.001, 0.003
Node_Arma6_Arma15_0, 0.315, 0.03, 0.007, 0.07, 0.281, 0, 0.315, 0.074, 0.204
Node_Arma6_Arma16_0, 0.022, 0.002, 0.006, 0.009, 0.021, 0, 0.022, 0.004, 0.021
Node_Arma6_Arma3_0, 0.005, 0, 0.012, 0.023, 0.005, 0, 0.005, 0, 0.013
Node_Arma6_Arma9_0, 0.088, 0.001, 0.011, 0.034, 0.087, 0, 0.088, 0.019, 0.076
Node_Aure2_Aure1_0, 0.372, 0, 0.12, 0.098, 0.367, 0, 0.372, 0.323, 0.051
Node_Bact1_Bact11_0, 0.009, 0, 0.018, 0.02, 0.009, 0, 0.009, 0.001, 0.024
Node_Bact1_Bact17_0, 0.003, 0, 0.015, 0.015, 0.003, 0, 0.003, 0.001, 0.011
Node_Bact20_Bact1_0, 0.007, 0, 0.009, 0.017, 0.007, 0, 0.007, 0, 0.015
Node_Bact20_Bact30_0, 0.009, 0, 0.016, 0.019, 0.009, 0, 0.009, 0.003, 0.018
Node_Bact21_Bact29_0, 1.07, 0.002, 0.039, 0.078, 0.999, 0, 1.07, 0.944, 0.131
Node_Bact21_Bact36_0, 0.976, 0, 0.242, 0.086, 0.93, 0, 0.976, 0.94, 0.045
Node_Bact21_Bact44_0, 1.173, 0, 0.035, 0.068, 0.934, 0, 1.173, 1.024, 0.154
Node_Bact22_Bact31_0, 0.008, 0, 0.028, 0.025, 0.008, 0, 0.008, 0.002, 0.014
Node_Bact22_Bact5_0, 0.022, 0, 0.106, 0.068, 0.022, 0, 0.022, 0.016, 0.018
Node_Bact23_Bact28_0, 0.252, 0.002, 0.026, 0.14, 0.251, 0, 0.252, 0.056, 0.213
Node_Bact23_Bact34_0, 0.063, 0.002, 0.028, 0.052, 0.062, 0, 0.063, 0.01, 0.078
Node_Bact23_Bact4_0, 0.011, 0, 0.009, 0.01, 0.011, 0, 0.011, 0.004, 0.013
Node_Bact24_Bact23_0, 0.007, 0, 0.008, 0.007, 0.007, 0, 0.007, 0.002, 0.008
Node_Bact24_Bact25_0, 0.002, 0, 0.01, 0.011, 0.002, 0, 0.002, 0.001, 0.005
Node_Bact24_Bact3_0, 0.007, 0, 0.007, 0.01, 0.007, 0, 0.007, 0.006, 0.006
Node_Bact24_Bact7_0, 0.008, 0, 0.039, 0.019, 0.008, 0, 0.008, 0.005, 0.004
Node_Bact25_Bact20_0, 0.001, 0, 0.015, 0.016, 0.001, 0, 0.001, 0.001, 0.01
Node_Bact25_Bact2_0, 0.006, 0, 0.008, 0.009, 0.006, 0, 0.006, 0, 0.012
Node_Bact27_Bact19_0, 0.996, 0.001, 0.101, 0.054, 0.931, 0, 0.996, 0.959, 0.042
Node_Bact27_Bact21_0, 1.054, 0.008, 0.028, 0.153, 0.933, 0, 1.054, 0.846, 0.203
Node_Bact27_Bact22_0, 0.11, 0.005, 0.001, 0.049, 0.104, 0, 0.11, 0.038, 0.063
Node_Bact27_Bact24_0, 0.043, 0, 0.006, 0.021, 0.043, 0, 0.043, 0.018, 0.025
Node_Bact27_Bact35_0, 0.203, 0.006, 0.953, 0.057, 0.198, 0, 0.203, 0.059, 0.154
Node_Bact27_Bact37_0, 0.871, 0.042, 0.016, 0.312, 0.806, 0, 0.871, 0.099, 0.735
Node_Bact27_Bact40_0, 1.123, 0.353, 0.014, 0.172, 0.753, 0, 1.123, 0.129, 0.581
Node_Bact27_Mari3_0, 0.024, 0, 0.006, 0.016, 0.023, 0, 0.024, 0.011, 0.016
Node_Bact29_Bact9_0, 1.278, 0.001, 0.023, 0.157, 0.998, 0, 1.278, 1.055, 0.23
Node_Bact30_Bact32_0, 0.007, 0.001, 0.019, 0.017, 0.007, 0, 0.007, 0.001, 0.016
Node_Bact31_Bact38_0, 0.001, 0, 0.018, 0.019, 0.001, 0, 0.001, 0, 0.011
Node_Bact33_Bact10_0, 0.084, 0, 0.058, 0.078, 0.083, 0, 0.084, 0.041, 0.052
Node_Bact33_Bact39_0, 0.196, 0, 0.02, 0.035, 0.195, 0, 0.196, 0.075, 0.132
Node_Bact33_Bact6_0, 0.09, 0.002, 0.732, 0.147, 0.088, 0, 0.09, 0.077, 0.014
Node_Bact36_Bact43_0, 0.051, 0, 0.986, 0.046, 0.051, 0, 0.051, 0.006, 0.061
Node_Bact37_Bact33_0, 0.806, 0.005, 0.082, 0.203, 0.794, 0, 0.806, 0.791, 0.012
Node_Bact37_Bact42_0, 0.846, 0.001, 0.032, 0.217, 0.843, 0, 0.846, 0.789, 0.071
Node_Bact3_Bact12_0, 0.002, 0, 0.011, 0.011, 0.002, 0, 0.002, 0.001, 0.006
Node_Bact3_Bact13_0, 0.002, 0, 0.01, 0.01, 0.002, 0, 0.002, 0.002, 0.007
Node_Bact3_Bact14_0, 0.009, 0, 0.017, 0.022, 0.009, 0, 0.009, 0.001, 0.024
Node_Bact3_Bact18_0, 0.005, 0, 0.01, 0.015, 0.005, 0, 0.005, 0, 0.013
Node_Bact40_Bact41_0, 1.408, 0.002, 0.025, 0.234, 0.995, 0, 1.408, 1.108, 0.308
Node_Bact5_Bact16_0, 0.009, 0, 0.034, 0.037, 0.009, 0, 0.009, 0.004, 0.021
Node_Bact7_Bact8_0, 0.002, 0, 0.026, 0.022, 0.002, 0, 0.002, 0, 0.02
Node_Bdell12_Bdell3_0, 1.38, 0.318, 0.045, 0.48, 0.988, 0, 1.38, 0.581, 0.29
Node_Bdell13_Bdell12_0, 0.817, 0.044, 0.153, 0.323, 0.754, 0, 0.817, 0.661, 0.084
Node_Bdell14_Bdell11_0, 0.007, 0, 0.044, 0.018, 0.007, 0, 0.007, 0.005, 0.009
