species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons, transfers_to
Node_FirmB17_FirmB15_0, 1.99, 0.009, 1.123, 0.424, 1, 0, 1.99, 1.946, 0.068
Node_FirmB2_FirmB11_0, 1.125, 0.005, 2.179, 0.775, 0.717, 0, 1.125, 0.374, 0.777
Node_FirmB2_FirmB12_0, 2.522, 0.288, 0.495, 1.133, 1, 0, 2.522, 1.321, 0.671
Node_FirmB3_FirmB14_0, 2.083, 0.021, 1.559, 0.618, 0.995, 0, 2.083, 0.798, 1.298
Node_FirmB4_FirmB17_0, 3.036, 0.003, 0.136, 0.127, 1, 0, 3.036, 2.207, 0.843
Node_FirmB4_FirmB1_0, 2.326, 0.006, 0.781, 0.363, 1, 0, 2.326, 1.555, 0.778
Node_FirmB4_FirmB3_0, 2.323, 0.012, 0.565, 0.398, 0.991, 0, 2.323, 1.813, 0.514
Node_FirmB6_FirmB7_0, 2.131, 0, 0.471, 0.168, 0.992, 0, 2.131, 1.98, 0.166
Node_FirmB8_FirmB16_0, 1.012, 0.012, 1.632, 0.471, 0.705, 0, 1.012, 0.741, 0.27
Node_FirmB8_FirmB4_0, 2.362, 0.008, 0.995, 0.372, 0.985, 0, 2.362, 2.071, 0.29
Node_FirmB8_FirmB5_0, 0.986, 0.007, 0.467, 0.55, 0.7, 0, 0.986, 0.567, 0.434
Node_FirmB8_FirmB9_0, 3.059, 0.037, 0.533, 0.529, 0.999, 0, 3.059, 2.787, 0.228
Node_FirmB9_FirmB10_0, 2.171, 0.023, 0.688, 0.295, 1, 0, 2.171, 1.383, 0.778
Node_FirmB9_FirmB2_0, 2.058, 0.558, 1.208, 0.533, 0.999, 0, 2.058, 0.731, 0.272
Node_FirmB9_FirmB6_0, 2.436, 0.018, 0.972, 0.382, 1, 0, 2.436, 2.101, 0.331
Node_FirmC10_FirmC14_0, 1.256, 0.006, 0.493, 0.586, 0.997, 0, 1.256, 1.083, 0.205
Node_FirmC10_FirmC18_0, 1.538, 0.011, 0.429, 0.271, 0.998, 0, 1.538, 0.53, 1.019
Node_FirmC10_FirmC19_0, 0.937, 0.005, 0.647, 0.278, 0.671, 0, 0.937, 0.391, 0.564
Node_FirmC11_FirmC3_0, 2.333, 0.002, 1.066, 0.14, 1, 0, 2.333, 2.186, 0.177
Node_FirmC13_FirmB8_0, 3.327, 0.083, 1.24, 0.83, 0.999, 0, 3.327, 3.016, 0.199
Node_FirmC13_FirmC10_0, 1.015, 0.01, 0.593, 0.429, 0.826, 0, 1.015, 0.91, 0.114
Node_FirmC13_FirmC17_0, 1.057, 0.02, 0.169, 0.303, 0.851, 0, 1.057, 0.856, 0.191
Node_FirmC13_FirmC5_0, 1.35, 0.25, 2.673, 0.778, 0.752, 0, 1.35, 0.579, 0.446
Node_FirmC13_FirmC8_0, 1.484, 0.018, 0.317, 0.349, 0.875, 0, 1.484, 1.038, 0.433
Node_FirmC13_Firms33_0, 4.285, 0.435, 0.122, 0.686, 1, 0, 4.285, 3.131, 0.533
Node_FirmC15_FirmC12_0, 1.03, 0.007, 2.045, 0.411, 1, 0, 1.03, 0.261, 0.795
Node_FirmC1_FirmC4_0, 3.029, 0.007, 1.468, 0.42, 1, 0, 3.029, 2.798, 0.252
Node_FirmC6_FirmC16_0, 2.339, 0.003, 2.064, 0.442, 0.998, 0, 2.339, 2.206, 0.162
Node_FirmC6_FirmC1_0, 4.238, 0.043, 0.149, 0.282, 1, 0, 4.238, 3.83, 0.372
Node_FirmC8_FirmC11_0, 3.22, 0.011, 0.891, 0.17, 1, 0, 3.22, 3.099, 0.128
Node_FirmC8_FirmC15_0, 2.273, 0.002, 1.068, 0.148, 1, 0, 2.273, 2.043, 0.262
Node_FirmC8_FirmC6_0, 3.972, 0.056, 0.084, 0.169, 1, 0, 3.972, 2.141, 1.787
Node_FirmC8_FirmC7_0, 3.077, 0.003, 0.217, 0.125, 1, 0, 3.077, 3.024, 0.071
Node_FirmC8_FirmC9_0, 2.213, 0.033, 0.395, 0.619, 0.999, 0, 2.213, 1.121, 1.091
Node_FirmD2_FirmD3_0, 2.983, 0.01, 0.445, 0.723, 0.998, 0, 2.983, 2.719, 0.278
Node_FirmD4_FirmD2_0, 3.14, 0.022, 0.535, 0.793, 0.999, 0, 3.14, 3.068, 0.056
Node_FirmE4_FirmE6_0, 0.555, 0.002, 0.722, 0.284, 0.48, 0, 0.555, 0.198, 0.389
Node_FirmE5_FirmA85_0, 2.997, 0.101, 0.108, 0.321, 0.995, 0, 2.997, 1.843, 1.009
Node_FirmE5_FirmE3_0, 1.232, 0.009, 0.222, 0.289, 0.772, 0, 1.232, 0.678, 0.559
Node_FirmE5_FirmE4_0, 0.886, 0.005, 1.116, 0.214, 0.626, 0, 0.886, 0.634, 0.26
Node_FirmE5_FirmE7_0, 1.737, 0.013, 1.428, 0.389, 0.971, 0, 1.737, 1.585, 0.155
Node_FirmE7_FirmE1_0, 1.256, 0.006, 0.608, 0.167, 0.995, 0, 1.256, 1.135, 0.121
Node_FirmE7_FirmE2_0, 1.491, 0.003, 0.115, 0.148, 0.996, 0, 1.491, 1.169, 0.347
Node_FirmE7_FirmE8_0, 1.017, 0.006, 1.302, 0.307, 0.999, 0, 1.017, 0.217, 0.822
Node_FirmF1_FirmF2_0, 0.568, 0.017, 1.004, 0.538, 0.468, 0, 0.568, 0.285, 0.278
Node_FirmF1_FirmG6_0, 1.277, 0.066, 0.3, 0.351, 0.757, 0, 1.277, 0.994, 0.173
Node_FirmF2_FirmF3_0, 2.388, 1.053, 0.396, 0.383, 0.998, 0, 2.388, 0.093, 1.163
Node_FirmG5_FirmG1_0, 1.138, 0.009, 0.575, 0.455, 0.857, 0, 1.138, 0.883, 0.28
Node_FirmG5_FirmG2_0, 1.424, 0.064, 0.164, 0.333, 0.868, 0, 1.424, 0.892, 0.467
Node_FirmG6_FirmE5_0, 1.995, 0.128, 0.165, 0.31, 0.923, 0, 1.995, 1.069, 0.755
Node_FirmG6_FirmG3_0, 1.04, 0.012, 0.263, 0.708, 0.804, 0, 1.04, 0.74, 0.303
