species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons, transfers_to
Node_MyxA1_MyxA4_0, 1.069, 0.002, 0.212, 0.538, 0.988, 0, 1.069, 0.28, 0.791
Node_MyxA2_MyxA3_0, 1.008, 0.002, 0.087, 0.036, 1, 0, 1.008, 0.996, 0.022
Node_Myxo10_Bdell6_0, 0.877, 0.003, 0.094, 0.291, 0.804, 0, 0.877, 0.824, 0.05
Node_Myxo10_MyxA1_0, 0.488, 0.002, 0.541, 0.378, 0.432, 0, 0.488, 0.336, 0.15
Node_Myxo10_Myxo11_0, 0.183, 0, 0.343, 0.205, 0.179, 0, 0.183, 0.148, 0.038
Node_Myxo10_Myxo14_0, 0.208, 0.005, 0.097, 0.124, 0.199, 0, 0.208, 0.086, 0.117
Node_Myxo10_Myxo15_0, 0.023, 0, 0.365, 0.043, 0.022, 0, 0.023, 0.018, 0.011
Node_Myxo10_Myxo17_0, 0.377, 0.029, 0.075, 0.173, 0.334, 0, 0.377, 0.135, 0.215
Node_Myxo11_Bdell13_0, 0.048, 0, 0.14, 0.076, 0.048, 0, 0.048, 0.045, 0.005
Node_Myxo11_Myxo13_0, 0.009, 0, 0.022, 0.025, 0.009, 0, 0.009, 0.005, 0.015
Node_Myxo11_Myxo8_0, 0.016, 0, 0.039, 0.033, 0.016, 0, 0.016, 0.013, 0.007
Node_Myxo14_Myxo2_0, 0.507, 0.005, 0.013, 0.272, 0.489, 0, 0.507, 0.223, 0.284
Node_Myxo14_Myxo3_0, 0.124, 0, 0.134, 0.103, 0.121, 0, 0.124, 0.075, 0.05
Node_Myxo14_Myxo5_0, 1.036, 0.009, 0.044, 1.104, 0.993, 0, 1.036, 0.469, 0.564
Node_Myxo14_Myxo6_0, 1.203, 0, 0.018, 0.059, 0.994, 0, 1.203, 1.03, 0.185
Node_Myxo14_Myxo9_0, 0.231, 0, 0.022, 0.115, 0.229, 0, 0.231, 0.107, 0.129
Node_Myxo15_Myxo18_0, 0.008, 0, 0.026, 0.027, 0.008, 0, 0.008, 0.004, 0.011
Node_Myxo17_Myxo19_0, 1.68, 0.607, 0.03, 0.11, 0.997, 0, 1.68, 0.213, 0.726
Node_Myxo2_Myxo1_0, 0.457, 0, 0.169, 0.058, 0.453, 0, 0.457, 0.347, 0.119
Node_Myxo8_Myxo7_0, 0.004, 0, 0.023, 0.015, 0.004, 0, 0.004, 0.003, 0.011
Node_Nitr10_Nitr3_0, 1.01, 0.002, 0.014, 0.02, 1, 0, 1.01, 1, 0.013
Node_Nitr10_Nitr4_0, 1.009, 0.001, 0.123, 0.023, 0.999, 0, 1.009, 0.93, 0.085
Node_Nitr10_Nitr6_0, 1.007, 0.002, 0.018, 0.014, 1, 0, 1.007, 0.999, 0.013
Node_Nitr14_CG294X1_0, 0.711, 0, 0.346, 0.103, 0.694, 0, 0.711, 0.706, 0.009
Node_Nitr14_Meth5_0, 1.048, 0.004, 0.085, 0.134, 0.982, 0, 1.048, 1.02, 0.022
Node_Nitr14_Nitr12_0, 0.006, 0, 0.01, 0.01, 0.006, 0, 0.006, 0.002, 0.011
Node_Nitr14_Nitr13_0, 0.007, 0, 0.012, 0.014, 0.007, 0, 0.007, 0.003, 0.008
Node_Nitr14_Nitr15_0, 0.709, 0.002, 0.032, 0.117, 0.69, 0, 0.709, 0.684, 0.028
Node_Nitr14_Nitr16_0, 0.005, 0, 0.01, 0.011, 0.005, 0, 0.005, 0.002, 0.008
Node_Nitr14_Nitr2_0, 0.011, 0, 0.047, 0.035, 0.011, 0, 0.011, 0.01, 0.005
Node_Nitr14_Nitr9_0, 0.053, 0, 0.661, 0.082, 0.053, 0, 0.053, 0.05, 0.005
Node_Nitr15_Nitr10_0, 1.046, 0.001, 0.257, 0.209, 0.997, 0, 1.046, 0.774, 0.274
Node_Nitr15_Nitr1_0, 0.824, 0.01, 0.013, 0.116, 0.744, 0, 0.824, 0.692, 0.118
Node_Nitr15_Nitr8_0, 1.028, 0, 0.016, 0.218, 0.803, 0, 1.028, 0.813, 0.22
Node_Nitr16_Nitr11_0, 0.002, 0, 0.023, 0.02, 0.002, 0, 0.002, 0, 0.016
Node_Nitr16_Nitr17_0, 0.009, 0, 0.018, 0.017, 0.009, 0, 0.009, 0, 0.022
Node_Nitr17_Nitr5_0, 0.005, 0, 0.02, 0.025, 0.005, 0, 0.005, 0.001, 0.016
Node_Nitr9_Nitr7_0, 0.006, 0, 0.055, 0.042, 0.006, 0, 0.006, 0.006, 0.008
Node_Nits1_Nits3_0, 1.002, 0, 0.018, 0.013, 0.999, 0, 1.002, 0.362, 0.646
Node_Nits4_Nits2_0, 0.012, 0, 0.312, 0.081, 0.012, 0, 0.012, 0.008, 0.014
Node_NitsA1_NitsA2_0, 1.02, 0.002, 0.341, 0.311, 0.999, 0, 1.02, 0.3, 0.735
Node_NitsA1_NitsA3_0, 0.624, 0, 0.499, 0.271, 0.558, 0, 0.624, 0.503, 0.123
Node_NitsA3_Nits1_0, 0.374, 0, 0.037, 0.049, 0.37, 0, 0.374, 0.279, 0.101
Node_NitsA3_Nits4_0, 0.31, 0, 0.356, 0.163, 0.309, 0, 0.31, 0.275, 0.042
Node_Omni4_Omni2_0, 1.207, 0.003, 0.053, 0.468, 0.999, 0, 1.207, 0.133, 1.09
Node_Omni4_Omni3_0, 0.266, 0, 0.803, 0.513, 0.244, 0, 0.266, 0.243, 0.024
Node_Omni4_Omni7_0, 0.167, 0.001, 0.18, 0.196, 0.158, 0, 0.167, 0.089, 0.08
Node_Omni4_Omni8_0, 1.045, 0.001, 0.875, 0.616, 0.878, 0, 1.045, 1.023, 0.021
Node_Omni8_Omni6_0, 1.114, 0.003, 0.164, 0.651, 0.909, 0, 1.114, 0.882, 0.23
Node_P4572X1_Ferm1_0, 0.046, 0, 0.058, 0.03, 0.045, 0, 0.046, 0.034, 0.013
Node_P4572X1_Gemm5_0, 0.038, 0, 0.029, 0.03, 0.037, 0, 0.038, 0.019, 0.021
Node_Pate13_Pate34_0, 0.005, 0, 0.008, 0.013, 0.005, 0, 0.005, 0, 0.009
Node_Pate13_Pate6_0, 0.004, 0, 0.011, 0.014, 0.004, 0, 0.004, 0, 0.01
Node_Pate14_Pate35_0, 0.002, 0, 0.006, 0.006, 0.002, 0, 0.002, 0, 0.008
Node_Pate14_Pate5_0, 0, 0, 0.009, 0.011, 0, 0, 0, 0, 0.006
Node_Pate15_Pate29_0, 0.007, 0.001, 0.016, 0.029, 0.007, 0, 0.007, 0.002, 0.019
