species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons, transfers_to
Node_FirmA86_FirmA61_0, 0.008, 0, 0.017, 0.022, 0.008, 0, 0.008, 0.001, 0.02
Node_FirmA87_FirmA106_0, 0.003, 0, 0.011, 0.015, 0.003, 0, 0.003, 0.001, 0.012
Node_FirmA87_FirmA62_0, 0.002, 0, 0.008, 0.008, 0.002, 0, 0.002, 0, 0.006
Node_FirmA87_FirmA96_0, 0.004, 0, 0.006, 0.004, 0.004, 0, 0.004, 0.001, 0.004
Node_FirmA88_FirmA101_0, 0.002, 0, 0.011, 0.012, 0.002, 0, 0.002, 0.001, 0.011
Node_FirmA89_FirmA105_0, 0.004, 0, 0.014, 0.014, 0.004, 0, 0.004, 0.001, 0.01
Node_FirmA89_FirmA110_0, 0.003, 0, 0.016, 0.016, 0.003, 0, 0.003, 0.001, 0.015
Node_FirmA89_FirmA21_0, 0.007, 0, 0.009, 0.011, 0.007, 0, 0.007, 0.001, 0.01
Node_FirmA89_FirmA31_0, 0.004, 0, 0.015, 0.012, 0.004, 0, 0.004, 0, 0.013
Node_FirmA89_FirmA53_0, 0.006, 0, 0.015, 0.015, 0.006, 0, 0.006, 0, 0.014
Node_FirmA89_FirmA68_0, 0.008, 0, 0.013, 0.016, 0.008, 0, 0.008, 0.003, 0.017
Node_FirmA89_FirmA80_0, 0.007, 0, 0.012, 0.01, 0.007, 0, 0.007, 0, 0.012
Node_FirmA90_FirmA112_0, 0.005, 0, 0.015, 0.015, 0.005, 0, 0.005, 0.002, 0.013
Node_FirmA92_FirmA54_0, 0.207, 0.001, 0.014, 0.083, 0.206, 0, 0.207, 0.041, 0.176
Node_FirmA94_FirmA75_0, 0, 0, 0.014, 0.01, 0, 0, 0, 0, 0.007
Node_FirmA96_FirmA27_0, 0.006, 0, 0.008, 0.008, 0.006, 0, 0.006, 0.002, 0.01
Node_FirmA96_FirmA91_0, 0.003, 0, 0.018, 0.02, 0.003, 0, 0.003, 0, 0.015
Node_FirmA99_FirmA18_0, 0.005, 0, 0.018, 0.019, 0.005, 0, 0.005, 0.001, 0.016
Node_FirmB16_FirmB13_0, 0.003, 0, 0.014, 0.015, 0.003, 0, 0.003, 0, 0.012
Node_FirmB17_FirmB15_0, 0, 0, 0.023, 0.02, 0, 0, 0, 0, 0.016
Node_FirmB2_FirmB11_0, 0.994, 0, 0.019, 0.018, 0.991, 0, 0.994, 0.988, 0.013
Node_FirmB2_FirmB12_0, 1, 0.001, 0.021, 0.46, 0.992, 0, 1, 0.287, 0.725
Node_FirmB3_FirmB14_0, 0.006, 0, 0.018, 0.017, 0.006, 0, 0.006, 0, 0.017
Node_FirmB4_FirmB17_0, 0.007, 0, 0.008, 0.009, 0.007, 0, 0.007, 0, 0.009
Node_FirmB4_FirmB1_0, 0.006, 0.001, 0.012, 0.014, 0.006, 0, 0.006, 0.001, 0.01
Node_FirmB4_FirmB3_0, 0.007, 0, 0.017, 0.013, 0.007, 0, 0.007, 0.003, 0.008
Node_FirmB6_FirmB7_0, 0.008, 0, 0.103, 0.047, 0.008, 0, 0.008, 0.005, 0.013
Node_FirmB8_FirmB16_0, 0.005, 0, 0.024, 0.019, 0.005, 0, 0.005, 0.002, 0.013
Node_FirmB8_FirmB4_0, 0.016, 0, 0.054, 0.027, 0.016, 0, 0.016, 0.01, 0.015
Node_FirmB8_FirmB5_0, 0.006, 0, 0.01, 0.009, 0.006, 0, 0.006, 0, 0.011
Node_FirmB8_FirmB9_0, 0.055, 0, 0.054, 0.05, 0.055, 0, 0.055, 0.023, 0.043
Node_FirmB9_FirmB10_0, 0.038, 0, 0.277, 0.088, 0.036, 0, 0.038, 0.03, 0.02
Node_FirmB9_FirmB2_0, 0.295, 0.001, 0.018, 0.122, 0.291, 0, 0.295, 0.086, 0.214
Node_FirmB9_FirmB6_0, 0.098, 0, 0.025, 0.059, 0.097, 0, 0.098, 0.038, 0.068
Node_FirmC10_FirmC14_0, 0.006, 0, 0.016, 0.019, 0.006, 0, 0.006, 0.003, 0.01
Node_FirmC10_FirmC18_0, 0.012, 0, 0.01, 0.012, 0.012, 0, 0.012, 0.003, 0.014
Node_FirmC10_FirmC19_0, 0.008, 0, 0.015, 0.013, 0.008, 0, 0.008, 0.001, 0.016
Node_FirmC11_FirmC3_0, 0.002, 0, 0.016, 0.013, 0.002, 0, 0.002, 0.001, 0.009
Node_FirmC13_FirmB8_0, 0.066, 0, 0.538, 0.101, 0.066, 0, 0.066, 0.058, 0.015
Node_FirmC13_FirmC10_0, 0.007, 0, 0.02, 0.016, 0.007, 0, 0.007, 0.002, 0.017
Node_FirmC13_FirmC17_0, 0.002, 0, 0.02, 0.016, 0.002, 0, 0.002, 0, 0.015
Node_FirmC13_FirmC5_0, 0.023, 0, 0.06, 0.041, 0.023, 0, 0.023, 0.015, 0.017
