species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons, transfers_to
Node_Myxo10_Myxo11_0, 1.027, 0.011, 0.1, 0.246, 0.732, 0, 1.027, 0.773, 0.244
Node_Myxo10_Myxo14_0, 1.728, 0.042, 0.113, 0.292, 0.922, 0, 1.728, 0.908, 0.772
Node_Myxo10_Myxo15_0, 2.354, 0.008, 0.732, 0.829, 0.987, 0, 2.354, 1.789, 0.576
Node_Myxo10_Myxo17_0, 2.502, 0.066, 0.192, 0.857, 0.991, 0, 2.502, 1.518, 0.9
Node_Myxo11_Bdell13_0, 0.24, 0.003, 0.828, 0.241, 0.223, 0, 0.24, 0.208, 0.038
Node_Myxo11_Myxo13_0, 0.02, 0.001, 0.084, 0.079, 0.02, 0, 0.02, 0.007, 0.051
Node_Myxo11_Myxo8_0, 0.052, 0.001, 0.209, 0.094, 0.051, 0, 0.052, 0.042, 0.02
Node_Myxo14_Myxo2_0, 1.295, 0.011, 0.139, 0.251, 0.768, 0, 1.295, 0.893, 0.407
Node_Myxo14_Myxo3_0, 1.518, 0.017, 0.509, 0.324, 0.916, 0, 1.518, 1.22, 0.282
Node_Myxo14_Myxo5_0, 1.681, 0.008, 0.71, 0.235, 1, 0, 1.681, 0.604, 1.088
Node_Myxo14_Myxo6_0, 1.298, 0.005, 0.621, 0.245, 1, 0, 1.298, 1.096, 0.233
Node_Myxo14_Myxo9_0, 1.016, 0.003, 0.604, 0.417, 0.701, 0, 1.016, 0.928, 0.099
Node_Myxo15_Myxo18_0, 2.281, 0.017, 0.683, 0.984, 1, 0, 2.281, 1.708, 0.593
Node_Myxo17_Myxo19_0, 3.802, 1.433, 0.814, 0.926, 1, 0, 3.802, 1.185, 0.681
Node_Myxo2_Myxo1_0, 1.08, 0.008, 0.591, 0.392, 0.74, 0, 1.08, 0.723, 0.368
Node_Myxo8_Myxo7_0, 0.02, 0, 0.065, 0.053, 0.02, 0, 0.02, 0.014, 0.033
Node_Nitr10_Nitr3_0, 1.02, 0.001, 0.052, 0.06, 0.998, 0, 1.02, 1.002, 0.044
Node_Nitr10_Nitr4_0, 1.027, 0.005, 0.073, 0.063, 1, 0, 1.027, 1.006, 0.049
Node_Nitr10_Nitr6_0, 1.024, 0.001, 0.042, 0.048, 1, 0, 1.024, 1.003, 0.045
Node_Nitr14_CG294X1_0, 1.382, 0.014, 1.249, 0.401, 0.982, 0, 1.382, 1.327, 0.042
